geslacht,lft,etngrp,oplniv,com,n
Vrouw,"[20,30)",Overig,1,0,38800
Vrouw,"[20,30)",Overig,2,0,157400
Vrouw,"[20,30)",Overig,3,0,133000
Man,"[50,60)",Autochtoon,1,0,49200
Man,"[50,60)",Autochtoon,2,0,97800
Man,"[50,60)",Autochtoon,3,0,129200
Man,"[0,20)",Autochtoon,1,0,308300
Man,"[0,20)",Autochtoon,2,0,18600
Man,"[0,20)",Autochtoon,3,0,100
Vrouw,"[20,30)",Autochtoon,1,0,13800
Vrouw,"[20,30)",Autochtoon,2,0,142700
Vrouw,"[20,30)",Autochtoon,3,0,248500
Vrouw,"[0,20)",Autochtoon,1,0,293100
Vrouw,"[0,20)",Autochtoon,2,0,23900
Man,"[20,30)",Autochtoon,1,0,20700
Man,"[20,30)",Autochtoon,2,0,140700
Man,"[20,30)",Autochtoon,3,0,176600
Man,"[30,40)",Overig,1,0,26800
Man,"[30,40)",Overig,2,0,38300
Man,"[30,40)",Overig,3,0,250000
Vrouw,"[40,50)",Autochtoon,1,0,22900
Vrouw,"[40,50)",Autochtoon,2,0,61500
Vrouw,"[40,50)",Autochtoon,3,0,141700
Man,"[20,30)",Marokkaans,1,0,15000
Man,"[20,30)",Marokkaans,2,0,37100
Man,"[20,30)",Marokkaans,3,0,6900
Man,"[40,50)",Autochtoon,1,0,24500
Man,"[40,50)",Autochtoon,2,0,73600
Man,"[40,50)",Autochtoon,3,0,158000
Man,"[20,30)",Turks,1,0,9300
Man,"[20,30)",Turks,2,0,22500
Man,"[20,30)",Turks,3,0,7200
Man,"[60,70)",Overig,1,0,35000
Man,"[60,70)",Overig,2,0,34100
Man,"[60,70)",Overig,3,0,34000
Vrouw,"[30,40)",Overig,1,0,22800
Vrouw,"[30,40)",Overig,2,0,92700
Vrouw,"[30,40)",Overig,3,0,195600
Man,"[0,20)",Marokkaans,1,0,122100
Man,"[0,20)",Marokkaans,2,0,5900
Vrouw,"[50,60)",Overig,1,0,30400
Vrouw,"[50,60)",Overig,2,0,42500
Vrouw,"[50,60)",Overig,3,0,72200
Vrouw,"[40,50)",Overig,1,0,35000
Vrouw,"[40,50)",Overig,2,0,50700
Vrouw,"[40,50)",Overig,3,0,110500
Man,"[0,20)",Surinaams,1,0,53500
Man,"[0,20)",Surinaams,2,0,3500
Vrouw,"[0,20)",Overig,1,0,246100
Vrouw,"[0,20)",Overig,2,0,17900
Vrouw,"[30,40)",Autochtoon,1,0,20600
Vrouw,"[30,40)",Autochtoon,2,0,46800
Vrouw,"[30,40)",Autochtoon,3,0,230600
Man,"[0,20)",Overig,1,0,261100
Man,"[0,20)",Overig,2,0,9900
Vrouw,"[50,60)",Marokkaans,1,0,29100
Vrouw,"[50,60)",Marokkaans,2,0,5900
Vrouw,"[50,60)",Marokkaans,3,0,900
Vrouw,"[70,80)",Overig,1,0,15300
Vrouw,"[70,80)",Overig,2,0,15800
Vrouw,"[70,80)",Overig,3,0,17800
Man,"[20,30)",Overig,1,0,19100
Man,"[20,30)",Overig,2,0,94800
Man,"[20,30)",Overig,3,0,172100
Vrouw,"[70,80)",Autochtoon,1,0,61400
Vrouw,"[70,80)",Autochtoon,2,0,46600
Vrouw,"[70,80)",Autochtoon,3,0,61200
Man,"[20,30)",Surinaams,1,0,11300
Man,"[20,30)",Surinaams,2,0,32800
Man,"[20,30)",Surinaams,3,0,5800
Vrouw,"[0,20)",Marokkaans,1,0,115100
Vrouw,"[0,20)",Marokkaans,2,0,7800
Vrouw,"[40,50)",Surinaams,1,0,11900
Vrouw,"[40,50)",Surinaams,2,0,24900
Vrouw,"[40,50)",Surinaams,3,0,13200
Man,"[80,120]",Autochtoon,1,0,21700
Man,"[80,120]",Autochtoon,2,0,29800
Man,"[80,120]",Autochtoon,3,0,8500
Vrouw,"[50,60)",Surinaams,1,0,19300
Vrouw,"[50,60)",Surinaams,2,0,32000
Vrouw,"[50,60)",Surinaams,3,0,11700
Man,"[40,50)",Marokkaans,1,0,27100
Man,"[40,50)",Marokkaans,2,0,21000
Man,"[40,50)",Marokkaans,3,0,7000
Vrouw,"[30,40)",Turks,1,0,13900
Vrouw,"[30,40)",Turks,2,0,16200
Vrouw,"[30,40)",Turks,3,0,10700
Man,"[60,70)",Marokkaans,1,0,19600
Man,"[60,70)",Marokkaans,2,0,3800
Man,"[60,70)",Marokkaans,3,0,400
Man,"[30,40)",Marokkaans,1,0,23500
Man,"[30,40)",Marokkaans,2,0,23000
Man,"[30,40)",Marokkaans,3,0,11600
Vrouw,"[60,70)",Overig,1,0,29700
Vrouw,"[60,70)",Overig,2,0,30200
Vrouw,"[60,70)",Overig,3,0,41200
Vrouw,"[20,30)",Surinaams,1,0,6900
Vrouw,"[20,30)",Surinaams,2,0,32900
Vrouw,"[20,30)",Surinaams,3,0,10200
Man,"[50,60)",Overig,1,0,27400
Man,"[50,60)",Overig,2,0,55300
Man,"[50,60)",Overig,3,0,79500
Vrouw,"[80,120]",Overig,1,0,14400
Vrouw,"[80,120]",Overig,2,0,2900
Vrouw,"[80,120]",Overig,3,0,7600
Man,"[60,70)",Surinaams,1,0,16600
Man,"[60,70)",Surinaams,2,0,10400
Man,"[60,70)",Surinaams,3,0,8800
Man,"[30,40)",Autochtoon,1,0,24900
Man,"[30,40)",Autochtoon,2,0,67100
Man,"[30,40)",Autochtoon,3,0,227100
Man,"[70,80)",Autochtoon,1,0,43400
Man,"[70,80)",Autochtoon,2,0,42200
Man,"[70,80)",Autochtoon,3,0,62500
Man,"[50,60)",Turks,1,0,18600
Man,"[50,60)",Turks,2,0,9000
Man,"[50,60)",Turks,3,0,2200
Vrouw,"[60,70)",Autochtoon,1,0,64300
Vrouw,"[60,70)",Autochtoon,2,0,57400
Vrouw,"[60,70)",Autochtoon,3,0,96400
Vrouw,"[50,60)",Autochtoon,1,0,40800
Vrouw,"[50,60)",Autochtoon,2,0,83000
Vrouw,"[50,60)",Autochtoon,3,0,127300
Vrouw,"[20,30)",Turks,1,0,12600
Vrouw,"[20,30)",Turks,2,0,18700
Vrouw,"[20,30)",Turks,3,0,5600
Man,"[40,50)",Overig,1,0,42700
Man,"[40,50)",Overig,2,0,61800
Man,"[40,50)",Overig,3,0,93700
Vrouw,"[20,30)",Marokkaans,1,0,5800
Vrouw,"[20,30)",Marokkaans,2,0,42400
Vrouw,"[20,30)",Marokkaans,3,0,11700
Man,"[50,60)",Marokkaans,1,0,27100
Man,"[50,60)",Marokkaans,2,0,11600
Man,"[50,60)",Marokkaans,3,0,4200
Vrouw,"[60,70)",Turks,1,0,11500
Vrouw,"[60,70)",Turks,2,0,300
Man,"[70,80)",Overig,1,0,13200
Man,"[70,80)",Overig,2,0,10800
Man,"[70,80)",Overig,3,0,23000
Vrouw,"[40,50)",Marokkaans,1,0,25600
Vrouw,"[40,50)",Marokkaans,2,0,20600
Vrouw,"[40,50)",Marokkaans,3,0,8700
Man,"[60,70)",Autochtoon,1,0,48200
Man,"[60,70)",Autochtoon,2,0,66400
Man,"[60,70)",Autochtoon,3,0,111600
Man,"[60,70)",Turks,1,0,10000
Man,"[60,70)",Turks,2,0,1100
Man,"[60,70)",Turks,3,0,700
Vrouw,"[80,120]",Autochtoon,1,0,81000
Vrouw,"[80,120]",Autochtoon,2,0,19100
Vrouw,"[80,120]",Autochtoon,3,0,6900
Man,"[70,80)",Turks,1,0,5800
Vrouw,"[40,50)",Turks,1,0,20000
Vrouw,"[40,50)",Turks,2,0,9700
Vrouw,"[40,50)",Turks,3,0,5100
Vrouw,"[70,80)",Turks,1,0,6000
Man,"[70,80)",Surinaams,1,0,9100
Man,"[70,80)",Surinaams,2,0,4200
Man,"[70,80)",Surinaams,3,0,1600
Man,"[0,20)",Turks,1,0,56300
Man,"[0,20)",Turks,2,0,2700
Vrouw,"[30,40)",Surinaams,1,0,7800
Vrouw,"[30,40)",Surinaams,2,0,26300
Vrouw,"[30,40)",Surinaams,3,0,17800
Vrouw,"[60,70)",Marokkaans,1,0,22600
Vrouw,"[60,70)",Marokkaans,2,0,400
Man,"[80,120]",Overig,1,0,1200
Man,"[80,120]",Overig,2,0,1700
Man,"[80,120]",Overig,3,0,12000
Vrouw,"[70,80)",Surinaams,1,0,12900
Vrouw,"[70,80)",Surinaams,2,0,3400
Vrouw,"[70,80)",Surinaams,3,0,2500
Man,"[40,50)",Turks,1,0,20400
Man,"[40,50)",Turks,2,0,10600
Man,"[40,50)",Turks,3,0,4900
Man,"[80,120]",Marokkaans,1,0,6000
Vrouw,"[0,20)",Turks,1,0,50500
Vrouw,"[0,20)",Turks,2,0,3500
Vrouw,"[0,20)",Surinaams,1,0,50600
Vrouw,"[0,20)",Surinaams,2,0,4400
Man,"[50,60)",Surinaams,1,0,21700
Man,"[50,60)",Surinaams,2,0,19600
Man,"[50,60)",Surinaams,3,0,7700
Man,"[30,40)",Surinaams,1,0,13200
Man,"[30,40)",Surinaams,2,0,23800
Man,"[30,40)",Surinaams,3,0,11000
Vrouw,"[50,60)",Turks,1,0,16800
Vrouw,"[50,60)",Turks,2,0,6600
Vrouw,"[50,60)",Turks,3,0,1400
Vrouw,"[70,80)",Marokkaans,1,0,10000
Man,"[40,50)",Surinaams,1,0,14000
Man,"[40,50)",Surinaams,2,0,19000
Man,"[40,50)",Surinaams,3,0,8800
Vrouw,"[30,40)",Marokkaans,1,0,23200
Vrouw,"[30,40)",Marokkaans,2,0,24800
Vrouw,"[30,40)",Marokkaans,3,0,18000
Vrouw,"[60,70)",Surinaams,1,0,17800
Vrouw,"[60,70)",Surinaams,2,0,19500
Vrouw,"[60,70)",Surinaams,3,0,8500
Man,"[70,80)",Marokkaans,1,0,15600
Man,"[70,80)",Marokkaans,2,0,300
Vrouw,"[80,120]",Marokkaans,1,0,3000
Man,"[30,40)",Turks,1,0,12000
Man,"[30,40)",Turks,2,0,21200
Man,"[30,40)",Turks,3,0,10700
Vrouw,"[80,120]",Surinaams,1,0,10000
Man,"[80,120]",Turks,1,0,2000
